GeneID,FractionBias,Flower_m6A_present
AT4G13340,Nucleoplasm,True
AT1G80850,Nucleoplasm,False
AT3G42850,Nucleoplasm,True
AT3G45160,Nucleoplasm,False
AT1G08630,Nucleoplasm,True
AT1G70670,Nucleoplasm,False
AT5G11870,Nucleoplasm,False
AT4G02840,Nucleoplasm,True
AT2G47550,Nucleoplasm,False
AT1G06260,Nucleoplasm,False
AT4G21870,Nucleoplasm,False
AT2G06005,Nucleoplasm,True
AT5G51090,Nucleoplasm,False
AT4G33100,Nucleoplasm,False
AT2G25850,Nucleoplasm,True
AT1G28290,Nucleoplasm,True
AT1G33880,Nucleoplasm,False
AT5G19290,Nucleoplasm,True
AT3G49710,Nucleoplasm,True
AT3G60140,Nucleoplasm,False
AT1G02205,Nucleoplasm,True
AT1G21695,Nucleoplasm,False
AT2G47540,Nucleoplasm,False
AT5G38760,Nucleoplasm,True
AT5G40480,Nucleoplasm,True
AT4G27610,Nucleoplasm,True
AT2G19750,Nucleoplasm,True
AT1G51810,Nucleoplasm,False
AT1G32270,Nucleoplasm,False
AT5G38410,Nucleoplasm,True
AT4G04640,Nucleoplasm,True
AT5G22000,Nucleoplasm,True
AT5G43870,Nucleoplasm,True
AT1G48460,Nucleoplasm,True
AT5G18610,Nucleoplasm,True
AT1G69640,Nucleoplasm,False
AT3G59710,Nucleoplasm,False
AT4G32900,Nucleoplasm,True
AT1G71695,Nucleoplasm,True
AT3G04120,Nucleoplasm,True
AT3G25580,Nucleoplasm,True
AT3G56910,Nucleoplasm,True
AT1G20100,Nucleoplasm,False
AT1G16890,Nucleoplasm,True
AT1G76490,Nucleoplasm,True
AT4G30993,Nucleoplasm,True
AT3G44310,Nucleoplasm,True
AT3G54760,Nucleoplasm,True
AT3G15534,Nucleoplasm,False
AT2G39730,Nucleoplasm,True
AT3G20475,Nucleoplasm,False
AT4G17695,Nucleoplasm,True
AT5G08430,Nucleoplasm,True
AT1G34340,Nucleoplasm,True
AT1G31860,Nucleoplasm,True
AT5G17840,Nucleoplasm,True
AT3G58580,Nucleoplasm,True
AT4G08570,Nucleoplasm,False
AT3G27540,Nucleoplasm,False
AT3G04080,Nucleoplasm,True
AT5G08540,Nucleoplasm,True
AT2G26980,Nucleoplasm,True
AT2G20250,Nucleoplasm,False
AT2G25910,Nucleoplasm,True
AT2G37035,Nucleoplasm,True
AT5G55790,Nucleoplasm,True
AT5G06250,Nucleoplasm,True
AT3G59580,Nucleoplasm,False
AT5G07410,Nucleoplasm,True
AT5G59210,Nucleoplasm,True
AT2G47520,Nucleoplasm,False
AT5G54090,Nucleoplasm,False
AT4G01160,Nucleoplasm,False
AT3G17840,Nucleoplasm,True
AT4G38330,Nucleoplasm,True
AT1G31130,Nucleoplasm,True
AT2G15580,Nucleoplasm,True
AT1G01620,Nucleoplasm,True
AT1G19835,Nucleoplasm,True
AT3G62660,Nucleoplasm,True
AT4G25290,Nucleoplasm,True
AT2G22290,Nucleoplasm,False
AT4G20735,Nucleoplasm,False
AT1G69620,Nucleoplasm,True
AT1G28630,Nucleoplasm,False
AT3G41762,Nucleoplasm,False
AT2G15790,Nucleoplasm,True
AT4G32710,Nucleoplasm,True
AT1G72210,Nucleoplasm,True
AT1G42970,Nucleoplasm,True
AT5G11530,Nucleoplasm,True
AT1G73030,Nucleoplasm,True
AT5G65080,Nucleoplasm,True
AT5G20490,Nucleoplasm,True
AT3G10690,Nucleoplasm,True
AT4G35010,Nucleoplasm,True
AT3G45090,Nucleoplasm,True
AT3G15180,Nucleoplasm,True
AT3G07050,Nucleoplasm,True
AT1G07510,Nucleoplasm,True
AT4G16990,Nucleoplasm,True
AT2G42040,Nucleoplasm,True
AT5G01720,Nucleoplasm,True
AT3G11420,Nucleoplasm,True
AT3G63340,Nucleoplasm,True
AT4G18510,Nucleoplasm,False
AT3G49300,Nucleoplasm,False
AT1G34440,Nucleoplasm,False
AT1G02145,Nucleoplasm,True
AT4G22360,Nucleoplasm,True
AT4G16660,Nucleoplasm,True
AT3G10300,Nucleoplasm,True
AT1G13920,Nucleoplasm,True
AT1G23030,Nucleoplasm,False
AT1G71020,Nucleoplasm,False
AT1G29900,Nucleoplasm,True
AT3G12980,Nucleoplasm,False
AT4G25910,Nucleoplasm,False
AT5G40400,Nucleoplasm,False
AT5G47350,Nucleoplasm,False
AT4G36730,Nucleoplasm,True
AT1G69900,Nucleoplasm,False
AT1G76110,Nucleoplasm,True
AT3G15210,Nucleoplasm,True
AT1G23190,Nucleoplasm,True
AT2G20290,Nucleoplasm,True
AT3G56070,Nucleoplasm,True
AT5G11975,Nucleoplasm,False
AT5G61740,Nucleoplasm,False
AT1G17460,Nucleoplasm,True
AT1G42990,Nucleoplasm,True
AT2G47790,Nucleoplasm,True
AT4G32510,Nucleoplasm,True
AT1G53790,Nucleoplasm,False
AT3G56220,Nucleoplasm,False
AT3G05545,Nucleoplasm,True
AT5G01350,Nucleoplasm,True
AT2G07638,Nucleoplasm,False
AT4G04450,Nucleoplasm,False
AT1G34460,Nucleoplasm,False
AT1G02780,Nucleoplasm,True
AT3G12620,Nucleoplasm,True
AT3G47340,Nucleoplasm,False
AT3G20860,Nucleoplasm,True
AT5G62600,Nucleoplasm,True
AT5G14740,Nucleoplasm,False
AT1G07470,Nucleoplasm,True
AT5G06210,Nucleoplasm,False
AT4G30550,Nucleoplasm,True
AT1G03780,Nucleoplasm,True
AT2G27040,Nucleoplasm,True
AT5G25460,Nucleoplasm,True
AT3G62220,Nucleoplasm,True
AT3G48600,Nucleoplasm,False
AT1G02790,Nucleoplasm,True
AT1G68490,Nucleoplasm,True
AT3G62170,Nucleoplasm,True
AT4G24974,Nucleoplasm,False
AT1G62360,Nucleoplasm,True
AT5G09720,Nucleoplasm,False
AT5G06390,Nucleoplasm,True
AT1G73870,Nucleoplasm,True
AT4G02060,Nucleoplasm,True
AT1G47340,Nucleoplasm,True
AT5G14320,Nucleoplasm,True
AT3G07560,Nucleoplasm,True
AT3G07860,Nucleoplasm,True
AT2G35040,Nucleoplasm,True
AT3G47470,Nucleoplasm,True
AT1G05805,Nucleoplasm,True
AT4G31300,Nucleoplasm,True
AT3G27560,Nucleoplasm,False
AT2G35350,Nucleoplasm,True
AT1G20670,Nucleoplasm,True
AT5G27720,Nucleoplasm,True
AT4G30980,Nucleoplasm,True
AT1G59960,Nucleoplasm,False
AT2G45510,Nucleoplasm,False
AT4G36220,Nucleoplasm,False
AT3G08520,Nucleoplasm,True
AT4G19030,Nucleoplasm,False
AT4G30990,Nucleoplasm,True
AT2G47700,Nucleoplasm,True
AT5G27560,Nucleoplasm,False
AT2G39450,Nucleoplasm,False
AT5G12920,Nucleoplasm,False
AT1G72710,Nucleoplasm,True
AT4G35100,Nucleoplasm,True
AT2G29650,Nucleoplasm,False
AT5G11700,Nucleoplasm,True
AT2G04550,Nucleoplasm,True
AT1G01490,Nucleoplasm,True
AT3G33528,Nucleoplasm,False
AT4G30450,Nucleoplasm,False
AT1G66950,Nucleoplasm,False
AT1G51870,Nucleoplasm,False
AT1G03250,Nucleoplasm,True
AT3G51750,Nucleoplasm,False
AT4G32420,Nucleoplasm,True
AT1G61520,Nucleoplasm,True
AT3G48930,Nucleoplasm,True
AT5G58390,Nucleoplasm,False
AT4G24150,Nucleoplasm,True
AT3G49370,Nucleoplasm,False
AT1G05380,Nucleoplasm,True
AT3G09840,Nucleoplasm,True
AT1G25310,Nucleoplasm,False
AT3G49725,Nucleoplasm,True
AT5G24770,Nucleoplasm,True
AT2G47850,Nucleoplasm,False
AT4G02230,Nucleoplasm,True
AT2G36026,Nucleoplasm,False
AT5G15420,Nucleoplasm,False
AT1G47350,Nucleoplasm,False
AT3G10920,Nucleoplasm,True
AT3G08770,Nucleoplasm,True
AT3G45190,Nucleoplasm,True
AT5G57870,Nucleoplasm,True
AT3G15400,Nucleoplasm,True
AT4G20400,Nucleoplasm,True
AT4G02260,Nucleoplasm,False
AT3G28960,Nucleoplasm,False
AT1G29910,Nucleoplasm,True
AT4G34650,Nucleoplasm,False
AT3G16520,Nucleoplasm,True
AT2G22920,Nucleoplasm,False
AT5G11540,Nucleoplasm,True
AT1G53720,Nucleoplasm,True
