metric,value
n_col0_m6a_peaks,5496.0
n_table2_cleavage_sites,6504.0
n_unique_overlaps,31.0
pct_unique_overlaps,0.4766
m6a_bp_covered,654279.0
genome_bp,119146348.0
p_null,0.005491389463317835
expected_overlaps_by_chance,35.715997069419195
observed_over_expected,0.8679584092177807
binomial_pvalue,0.8076533056477825
perm_mean_overlaps,34.015
perm_pvalue,0.7322677322677322
n_within_50bp,60.0
n_within_100bp,92.0
nuc_overlap,30.0
cyto_overlap,1.0
fisher_pvalue_nucleoplasm_enrichment,0.7193915527053947
