Chromosome,Start,End,FractionBias,log2 Fold-change,Contrast,Coverage,Type,ID,Name,Start_b,End_b
Chr1,8954371,8955372,Nucleoplasm,8.02768579482449,WT-N_vs_WT-C,threeP,mRNA,AT1G25490,RCN1,8954941,8955063
Chr1,2667839,2668841,Cytoplasm,-1.52383233546224,WT-N_vs_WT-C,threeP,mRNA,AT1G08450,CRT3,2667841,2667941
Chr2,19552004,19553005,Nucleoplasm,2.50688861013456,WT-N_vs_WT-C,fiveP,mRNA,AT2G47700,RFI2,19552188,19552301
Chr3,15967801,15968802,Nucleoplasm,8.22518813255718,WT-N_vs_WT-C,threeP,Intergenic,,,15968610,15968791
Chr3,21995197,21996198,Nucleoplasm,1.49200018507041,WT-N_vs_WT-C,threeP,mRNA,AT3G59540,AT3G59540,21995658,21995732
Chr3,20891846,20892847,Cytoplasm,-3.63957443406408,WT-N_vs_WT-C,threeP,mRNA,AT3G56340,AT3G56340,20892126,20892291
Chr4,8384465,8385466,Nucleoplasm,1.22798971365027,WT-N_vs_WT-C,threeP,mRNA,AT4G14615,AT4G14615,8384889,8385008
Chr5,19291958,19292959,Nucleoplasm,7.9171915662042,WT-N_vs_WT-C,threeP,Intergenic,,,19292652,19292783
Chr5,7279485,7280486,Nucleoplasm,5.78458163640546,WT-N_vs_WT-C,fiveP,mRNA,AT5G22000,RHF2A,7279982,7280227
Chr5,7279538,7280539,Nucleoplasm,4.62705216646424,WT-N_vs_WT-C,threeP,mRNA,AT5G22000,RHF2A,7279982,7280227
